Date,Location,Check_Ave,Sales,Item_Count
9/1/2017,Tylers,6.91,"3,947.79",1013
9/1/2017,Passport,7.38,"4,339.18",1278
9/2/2017,Passport,6.93,721.74,215
9/2/2017,ETC,6.64,"5,717.25",1867
9/2/2017,Cellar,14.83,"4,236.69",1003
9/2/2017,8:15,4.2,"1,287.90",484
9/3/2017,8:15,4.16,"3,383.99",1225
9/3/2017,Tylers,8.37,"3,639.30",875
9/3/2017,Cellar,13.34,"3,056.23",730
9/3/2017,Dean's Den,5.84,484.62,168
9/3/2017,ETC,7.42,"7,492.84",2349
9/4/2017,Dean's Den,5.19,497.71,183
9/4/2017,Lou's,6.14,"3,526.23",1086
9/4/2017,8:15,3.86,"4,265.62",1645
9/4/2017,Tylers,7.04,"4,847.92",1197
9/4/2017,ETC,6.8,"7,900.41",2537
9/4/2017,Passport,7.19,"5,591.28",1721
9/4/2017,Cellar,15.68,"2,726.26",668
9/5/2017,Tylers,7.09,"4,802.39",1227
9/5/2017,8:15,4.02,"4,178.56",1626
9/5/2017,Cellar,16.2,"2,902.53",635
9/5/2017,ETC,6.4,"7,182.31",2399
9/5/2017,Passport,7.32,"5,542.03",1688
9/5/2017,Dean's Den,6.09,511.42,164
9/5/2017,Post Office,13.57,"1,000.44",83
9/5/2017,Lou's,5.96,"3,061.77",966
9/6/2017,Lou's,6.13,"3,566.21",1107
9/6/2017,Dean's Den,6.27,557.84,191
9/6/2017,Post Office,8.64,401.87,50
9/6/2017,Passport,6.99,"5,623.63",1726
9/6/2017,Tylers,6.93,"5,136.13",1341
9/6/2017,Cellar,14.55,"5,039.25",1098
9/6/2017,8:15,4.27,"4,073.47",1517
9/6/2017,ETC,6.59,"7,446.87",2437
9/7/2017,Passport,7.15,"5,218.67",1613
9/7/2017,Tylers,6.89,"4,469.55",1156
9/7/2017,ETC,6.1,"7,162.79",2626
9/7/2017,8:15,3.95,"3,198.81",1252
9/7/2017,Concessions,5.68,108,32
9/7/2017,Lou's,5.61,"2,662.11",853
9/7/2017,Cellar,14.37,"2,563.07",621
9/7/2017,Dean's Den,6.17,566.92,204
9/7/2017,Post Office,11.54,378.97,36
9/8/2017,Lou's,5.74,"1,287.55",414
9/8/2017,8:15,4.13,"1,744.41",663
9/8/2017,Post Office,16.36,456.62,30
9/8/2017,Cellar,13.63,"2,963.67",725
9/8/2017,ETC,6.3,"6,780.93",2248
9/8/2017,Tylers,7.1,"4,001.41",1057
9/8/2017,Passport,6.96,"4,441.17",1402
9/9/2017,ETC,6.87,"6,117.93",1864
9/9/2017,Passport,7.22,"1,176.61",406
9/9/2017,Cellar,14.47,"4,204.41",1024
9/9/2017,8:15,4.45,"1,000.26",359
9/10/2017,8:15,4.19,"3,589.48",1344
9/10/2017,Tylers,8.82,"4,187.55",1006
9/10/2017,Cellar,14.27,"3,690.58",922
9/10/2017,ETC,7.45,"8,308.62",2643
9/10/2017,Dean's Den,5.03,407.3,160
9/11/2017,ETC,6.51,"8,684.92",2798
9/11/2017,Cellar,13.88,"2,272.60",584
9/11/2017,Dean's Den,6.59,691.27,235
9/11/2017,Post Office,9.83,529,58
9/11/2017,8:15,4.03,"5,021.85",1917
9/11/2017,Tylers,7.3,"5,314.60",1375
9/11/2017,Passport,7.21,"5,759.19",1783
9/11/2017,Lou's,6.1,"3,520.51",1037
9/12/2017,Post Office,11.91,487.7,46
9/12/2017,Lou's,6.21,"3,681.12",1104
9/12/2017,Tylers,7.41,"5,493.08",1394
9/12/2017,Passport,7.17,"5,139.04",1579
9/12/2017,Cellar,17.64,"1,978.63",432
9/12/2017,8:15,4.16,"4,805.59",1804
9/12/2017,Dean's Den,6.41,755.68,263
9/12/2017,ETC,6.1,"8,193.81",2766
9/13/2017,Dean's Den,5.64,581.05,208
9/13/2017,Post Office,9.82,362.38,40
9/13/2017,Concessions,0,0,
9/13/2017,Tylers,7.14,"5,362.88",1399
9/13/2017,Passport,7.04,"6,120.95",1839
9/13/2017,Concessions,0,0,
9/13/2017,ETC,6.4,"8,305.04",2758
9/13/2017,Lou's,5.9,"3,541.30",1088
9/13/2017,Cellar,14.02,"3,908.69",925
9/13/2017,8:15,4.12,"4,809.57",1837
9/14/2017,8:15,4.25,"3,657.63",1364
9/14/2017,ETC,5.91,"7,212.35",2406
9/14/2017,Lou's,5.71,"2,917.78",975
9/14/2017,Cellar,14.73,"2,386.39",540
9/14/2017,Dean's Den,5.12,665.5,241
9/14/2017,Tylers,7.07,"4,964.06",1296
9/14/2017,Passport,7.49,"5,465.61",1671
9/14/2017,Post Office,13.68,341.77,28
9/15/2017,Lou's,6.58,"1,257.79",381
9/15/2017,Post Office,7.59,188.85,32
9/15/2017,8:15,4.53,"1,938.59",758
9/15/2017,Tylers,6.99,"4,138.86",1107
9/15/2017,ETC,5.63,"5,061.27",1729
9/15/2017,Concessions,0,0,
9/15/2017,Cellar,17.14,"3,403.69",809
9/15/2017,Passport,7.92,"4,891.74",1535
9/16/2017,8:15,5.12,"1,242.05",462
9/16/2017,Concessions,7.9,"10,093.00",2907
9/16/2017,Cellar,14.42,"2,865.01",720
9/16/2017,Passport,8.58,"1,833.03",657
9/16/2017,Concessions,7.19,"7,519.00",2196
9/16/2017,ETC,6.09,"4,136.67",1342
9/17/2017,Dean's Den,6.41,538.7,196
9/17/2017,Concessions,8.35,426,127
9/17/2017,8:15,4.19,"3,871.07",1449
9/17/2017,ETC,7.1,"6,881.01",2229
9/17/2017,Tylers,7.92,"2,747.22",690
9/17/2017,Cellar,14.07,"3,242.04",787
9/18/2017,Tylers,7.1,"5,256.97",1335
9/18/2017,Passport,7.2,"5,832.41",1725
9/18/2017,ETC,6.26,"7,743.86",2527
9/18/2017,8:15,4.04,"5,008.93",1924
9/18/2017,Cellar,14.54,"1,999.47",445
9/18/2017,Dean's Den,5.91,761.79,283
9/18/2017,Post Office,12.72,469.94,39
9/18/2017,Lou's,6.17,"3,821.93",1156
9/18/2017,Concessions,0,0,
9/18/2017,Concessions,0,0,
9/19/2017,Lou's,5.58,"3,406.91",1041
9/19/2017,Concessions,1,1,1
9/19/2017,Post Office,6.48,264.51,45
9/19/2017,Passport,7.59,"5,719.52",1594
9/19/2017,Cellar,14.38,"1,946.07",471
9/19/2017,Tylers,6.96,"4,617.77",1201
9/19/2017,Dean's Den,5.43,591.4,223
9/19/2017,ETC,6.16,"7,415.42",2389
9/19/2017,8:15,4.01,"5,071.24",1941
9/20/2017,Passport,7.73,"8,014.86",2340
9/20/2017,Tylers,7.49,"10,968.26",2824
9/20/2017,ETC,6.19,"3,114.00",1069
9/20/2017,8:15,4.23,"5,752.79",2182
9/20/2017,Lou's,6.18,"4,137.49",1260
9/20/2017,Cellar,14.84,"4,613.37",1044
9/20/2017,Dean's Den,5.82,862.01,295
9/20/2017,Post Office,1.41,8.43,8
9/21/2017,Post Office,12.03,503.83,46
9/21/2017,8:15,4.19,"4,128.19",1567
9/21/2017,Lou's,5.73,"3,181.88",956
9/21/2017,Tylers,7.4,"5,538.68",1404
9/21/2017,ETC,6.13,"7,442.79",2495
9/21/2017,Concessions,5.21,146,44
9/21/2017,Cellar,13.78,"2,815.29",715
9/21/2017,Dean's Den,5.07,816.48,286
9/21/2017,Passport,7.31,"5,651.75",1740
9/22/2017,Cellar,14.86,"1,961.07",511
9/22/2017,Concessions,0,0,
9/22/2017,ETC,5.92,"5,710.81",2009
9/22/2017,Passport,7.61,"4,862.25",1466
9/22/2017,Post Office,14.51,332.07,24
9/22/2017,Tylers,7.69,"4,881.11",1257
9/22/2017,Lou's,5.77,"1,411.47",446
9/22/2017,8:15,3.99,"1,753.43",710
9/23/2017,Concessions,8.11,"8,309.00",2331
9/23/2017,Concessions,8.5,"11,285.00",3140
9/23/2017,Cellar,13.77,"3,667.12",909
9/23/2017,8:15,4.3,"1,267.24",471
9/23/2017,Passport,7.4,"1,207.06",381
9/23/2017,ETC,6.68,"4,883.19",1500
9/24/2017,Cellar,14.73,"3,250.72",754
9/24/2017,Dean's Den,5.55,721.98,256
9/24/2017,ETC,6.71,"7,145.24",2320
9/24/2017,Tylers,8.06,"3,388.02",829
9/24/2017,8:15,4.16,"4,692.44",1798
9/25/2017,Post Office,7.94,316,39
9/25/2017,Tylers,7.26,"5,189.93",1302
9/25/2017,Lou's,5.96,"3,393.66",994
9/25/2017,Cellar,14.27,"2,052.55",484
9/25/2017,Passport,7.26,"5,803.98",1894
9/25/2017,ETC,6.31,"8,268.90",2801
9/25/2017,Dean's Den,6.1,988.38,375
9/25/2017,8:15,4.03,"5,798.29",2238
9/26/2017,Dean's Den,5.76,905.08,323
9/26/2017,Lou's,5.82,"3,606.59",1122
9/26/2017,Post Office,7.76,308.96,44
9/26/2017,8:15,4,"5,659.04",2188
9/26/2017,Tylers,7.33,"5,444.92",1349
9/26/2017,ETC,5.94,"7,064.19",2385
9/26/2017,Cellar,14.36,"1,639.31",372
9/26/2017,Passport,7.55,"5,577.06",1637
9/27/2017,8:15,4.06,"5,453.15",2085
9/27/2017,ETC,6.54,"8,675.68",2795
9/27/2017,Lou's,6.01,"3,829.51",1217
9/27/2017,Cellar,14.85,"3,113.75",764
9/27/2017,Dean's Den,5.39,846.04,324
9/27/2017,Tylers,7.55,"5,940.90",1474
9/27/2017,Post Office,16.07,658.69,45
9/27/2017,Passport,7.25,"5,923.13",1843
9/28/2017,Dean's Den,5.58,775.15,285
9/28/2017,Lou's,5.68,"2,622.73",841
9/28/2017,Post Office,7.01,223.28,36
9/28/2017,8:15,4.21,"4,506.99",1713
9/28/2017,Tylers,6.95,"5,552.83",1423
9/28/2017,Cellar,13.85,"3,761.97",914
9/28/2017,ETC,5.97,"8,019.90",2746
9/28/2017,Passport,7.22,"5,488.44",1713
9/29/2017,Tylers,7.29,"4,094.92",1036
9/29/2017,8:15,4.1,"1,970.56",783
9/29/2017,Passport,7.38,"4,550.22",1445
9/29/2017,Cellar,14.21,"2,786.14",680
9/29/2017,Lou's,5.83,"1,227.56",383
9/29/2017,Post Office,5.95,153.85,26
9/29/2017,ETC,6.16,"6,467.65",2190
9/30/2017,Passport,7.65,"1,425.64",479
9/30/2017,ETC,6.32,"4,917.46",1632
9/30/2017,8:15,4.36,"1,496.57",571
9/30/2017,Cellar,15.98,"3,688.65",912
10/1/2017,Tylers,8.31,"3,266.37",743
10/1/2017,ETC,6.73,"6,874.91",2274
10/1/2017,Cellar,14.04,"3,385.19",804
10/1/2017,8:15,4.1,"4,731.84",1785
10/1/2017,Dean's Den,6.42,969.4,340
10/2/2017,Post Office,102.81,"4,007.41",47
10/2/2017,Lou's,6.1,"3,907.27",1160
10/2/2017,Tylers,7.28,"5,422.07",1354
10/2/2017,Cellar,14.2,"2,403.87",658
10/2/2017,Passport,7.04,"5,936.54",1855
10/2/2017,Dean's Den,5.49,970.94,375
10/2/2017,8:15,4.08,"5,982.90",2280
10/2/2017,ETC,6.23,"8,180.63",2650
10/3/2017,Passport,7.35,"5,804.66",1715
10/3/2017,Cellar,16.54,"2,455.98",547
10/3/2017,ETC,5.88,"7,446.99",2479
10/3/2017,8:15,4.09,"6,050.77",2323
10/3/2017,Tylers,7.38,"5,535.87",1379
10/3/2017,Dean's Den,5.85,894.03,324
10/3/2017,Lou's,6.05,"3,928.12",1219
10/3/2017,Post Office,13.25,606.69,54
10/4/2017,Post Office,5.72,200.12,36
10/4/2017,8:15,4.01,"5,467.89",2128
10/4/2017,Lou's,5.87,"3,465.36",1091
10/4/2017,Cellar,12.48,"3,480.45",734
10/4/2017,ETC,6.09,"7,577.10",2503
10/4/2017,Tylers,6.89,"4,893.11",1287
10/4/2017,Passport,7.01,"6,009.63",1798
10/4/2017,Dean's Den,5.32,818.81,311
10/5/2017,ETC,6.17,"7,892.81",2639
10/5/2017,Cellar,13.32,"2,544.62",654
10/5/2017,Dean's Den,5.36,910.35,328
10/5/2017,Post Office,11.51,252.11,23
10/5/2017,Lou's,5.77,"2,963.26",933
10/5/2017,Tylers,7.07,"5,082.54",1285
10/5/2017,Passport,7.19,"5,267.88",1673
10/5/2017,Concessions,6.3,170,52
10/5/2017,8:15,4.11,"4,138.68",1576
10/6/2017,Post Office,8.49,228.03,33
10/6/2017,Tylers,7.69,"4,469.72",1134
10/6/2017,ETC,6.17,"6,704.59",2153
10/6/2017,Passport,7.45,"4,310.27",1351
10/6/2017,Cellar,13.49,"2,635.75",660
10/6/2017,8:15,4.21,"1,916.24",752
10/6/2017,Lou's,5.69,"1,331.69",409
10/7/2017,Concessions,7.44,"6,387.00",1870
10/7/2017,8:15,4.08,"1,377.97",526
10/7/2017,ETC,6.45,"5,660.12",1821
10/7/2017,Concessions,7.5,"8,079.00",2333
10/7/2017,Cellar,14.56,"3,516.34",925
10/7/2017,Passport,8.09,"1,562.42",544
10/8/2017,8:15,4.09,"4,773.92",1813
10/8/2017,Tylers,8.14,"3,240.38",749
10/8/2017,Cellar,14.27,"3,291.53",822
10/8/2017,Dean's Den,5.73,940.31,332
10/8/2017,Concessions,7.36,434,130
10/8/2017,ETC,6.77,"7,519.46",2530
10/9/2017,Lou's,6.19,"4,166.36",1283
10/9/2017,Dean's Den,6.04,"1,062.47",390
10/9/2017,Post Office,7.33,226.04,147
10/9/2017,8:15,4.15,"5,885.30",2284
10/9/2017,Tylers,7.33,"5,259.95",1301
10/9/2017,Cellar,13.51,"1,959.81",459
10/9/2017,ETC,6.14,"8,269.59",2749
10/9/2017,Passport,7.2,"5,847.34",1855
10/10/2017,8:15,4.17,"6,003.76",2316
10/10/2017,ETC,5.88,"8,013.52",2764
10/10/2017,Cellar,15.62,"2,028.84",500
10/10/2017,Lou's,5.77,"3,834.79",1222
10/10/2017,Dean's Den,5.35,"1,005.86",364
10/10/2017,Tylers,7.63,"5,644.54",1392
10/10/2017,Post Office,18.8,582.58,147
10/10/2017,Passport,7.42,"5,823.37",1784
10/11/2017,Lou's,5.76,"3,703.29",1144
10/11/2017,Dean's Den,5.35,"1,070.34",461
10/11/2017,Post Office,20.97,523.79,30
10/11/2017,Passport,7.15,"5,942.30",1842
10/11/2017,Tylers,7.29,"5,567.99",1393
10/11/2017,8:15,4.17,"5,787.98",2233
10/11/2017,Cellar,13.15,"3,276.04",767
10/11/2017,ETC,6.31,"8,685.94",2952
10/12/2017,Tylers,7.26,"4,920.06",1274
10/12/2017,Passport,7.23,"5,026.55",1602
10/12/2017,ETC,6.51,"7,773.02",2605
10/12/2017,8:15,4.25,"4,038.22",1523
10/12/2017,Cellar,14.45,"2,245.59",553
10/12/2017,Concessions,6.06,564,178
10/12/2017,Dean's Den,6.31,"1,014.90",336
10/12/2017,Lou's,5.76,"2,630.77",822
10/12/2017,Post Office,12.94,309.24,27
10/13/2017,Lou's,6.55,699.98,199
10/13/2017,Post Office,7.38,205.07,31
10/13/2017,8:15,4.68,"1,300.44",498
10/13/2017,ETC,9.29,"7,012.30",2236
10/13/2017,Passport,7.03,"3,189.44",1079
10/13/2017,Tylers,7.75,"4,344.47",1067
10/16/2017,ETC,5.52,32.08,10
10/16/2017,Tylers,8.74,"5,774.93",1473
10/16/2017,8:15,5.02,957.75,350
10/16/2017,Post Office,13.15,263.03,26
10/17/2017,Post Office,10.56,284.06,34
10/17/2017,ETC,8.14,"5,824.08",1819
10/17/2017,Tylers,8.31,"5,590.89",1406
10/17/2017,8:15,4.58,"1,973.68",753
10/18/2017,Dean's Den,6.06,926.23,345
10/18/2017,Post Office,10.8,289.88,28
10/18/2017,Lou's,6.34,"3,790.72",1208
10/18/2017,Tylers,7.2,"4,889.22",1229
10/18/2017,Cellar,15.56,"2,715.00",665
10/18/2017,Passport,7.22,"5,335.73",1705
10/18/2017,ETC,6.72,"8,504.30",2756
10/18/2017,8:15,4.01,"5,133.50",1981
10/19/2017,8:15,4.1,"3,960.13",1518
10/19/2017,Tylers,7.38,"5,027.07",1274
10/19/2017,ETC,6.04,"8,217.87",2713
10/19/2017,Passport,7.15,"5,970.83",1849
10/19/2017,Cellar,15.29,"2,588.16",654
10/19/2017,Lou's,6.36,"3,457.78",1048
10/19/2017,Dean's Den,5.37,837,296
10/19/2017,Post Office,12.9,489.17,41
10/19/2017,Concessions,0,0,
10/20/2017,Lou's,5.74,"1,340.74",421
10/20/2017,Post Office,17.26,671.85,42
10/20/2017,8:15,4.13,"1,999.59",787
